,ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
0,,O,0,OAQK,"Victory Schools, DBA The Charter School of Excelle",Elementary,2,0,0,260 WARBURTON AVE,NY,10701,,,,"0K,01,02,03,04",YONKERS,260 WARBURTON AVE,1006,YONKERS,"-73.897156,40.94465",119,"260 WARBURTON AVE, YONKERS, NY, 10701",0,Exact,Match,40.94465,-73.897156,"260 WARBURTON AVE, YONKERS, NY, 10701",R,NY,36,139742928,000402,10701
1,10X081,X,2,X081,P.S. 081 ROBERT J. CHRISTEN,Elementary,1,10,10,5550 RIVERDALE AVENUE,NY,10471,MELODIE MASHEL,718-796-8965,718-796-7242,"0K,01,02,03,04,05,SE",BRONX,5550 RIVERDALE AVENUE,3008,BRONX,"-73.90523,40.903557",005,"5550 RIVERDALE AVENUE, BRONX, NY, 10471",1,Exact,Match,40.903557,-73.90523,"5550 RIVERDALE AVE, BRONX, NY, 10471",R,NY,36,80313114,033700,10471
2,11X016,X,2,X016,P.S. 016 WAKEFIELD,Elementary,1,11,11,4550 CARPENTER AVENUE,NY,10470,YVONNE WILLIAMS,718-324-1262,718-324-8370,"PK,0K,01,02,03,04,05,SE",BRONX,4550 CARPENTER AVENUE,1000,BRONX,"-73.85483,40.90221",005,"4550 CARPENTER AVENUE, BRONX, NY, 10470",2,Exact,Match,40.90221,-73.85483,"4550 CARPENTER AVE, BRONX, NY, 10470",R,NY,36,80297384,041400,10470
3,11X019,X,2,X019,P.S. 019 JUDITH K. WEISS,K-8,1,11,11,4318 KATONAH AVENUE,NY,10470,Timothy P. Sullivan,718-324-1924,718-994-9132,"0K,01,02,03,04,05,06,07,08,SE",BRONX,4318 KATONAH AVENUE,1005,BRONX,"-73.86749,40.899254",005,"4318 KATONAH AVENUE, BRONX, NY, 10470",3,Exact,Match,40.899254,-73.86749,"4318 KATONAH AVE, BRONX, NY, 10470",R,NY,36,80296848,045102,10470
4,11X087,X,2,X087,P.S. 087 BRONX,Elementary,1,11,11,1935 BUSSING AVENUE,NY,10466,DONNA ANAMAN,718-324-5188,718-325-1148,"0K,01,02,03,04,05,SE",BRONX,1935 BUSSING AVENUE,1002,BRONX,"-73.84606,40.895077",005,"1935 BUSSING AVENUE, BRONX, NY, 10466",4,Exact,Match,40.895077,-73.84606,"1935 BUSSING AVE, BRONX, NY, 10466",L,NY,36,80297684,042800,10466
5,11X103,X,2,X103,P.S. 103 HECTOR FONTANEZ,Elementary,1,11,11,4125 CARPENTER AVENUE,NY,10466,Farid Reyes,718-655-0261,718-654-7930,"0K,01,02,03,04,05,SE",BRONX,4125 CARPENTER AVENUE,1002,BRONX,"-73.86169,40.891754",005,"4125 CARPENTER AVENUE, BRONX, NY, 10466",5,Exact,Match,40.891754,-73.86169,"4125 CARPENTER AVE, BRONX, NY, 10466",L,NY,36,80297057,042000,10466
6,11X068,X,2,X068,P.S. 068 BRONX,Elementary,1,11,11,4011 MONTICELLO AVENUE,NY,10466,Catherine Helfrich,718-324-2854,718-324-3852,"PK,0K,01,02,03,04,05,SE",BRONX,4011 MONTICELLO AVENUE,4002,BRONX,"-73.83841,40.89158",005,"4011 MONTICELLO AVENUE, BRONX, NY, 10466",6,Exact,Match,40.89158,-73.83841,"4011 MONTICELLO AVE, BRONX, NY, 10466",L,NY,36,80297793,042600,10466
7,10X141,X,2,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,Secondary School,1,10,10,660 WEST 237 STREET,NY,10463,LORI O'MARA,718-796-8516,718-796-8657,"06,07,08,09,10,11,12,SE",BRONX,660 WEST 237 STREET,4001,BRONX,"-73.913994,40.888382",005,"660 WEST 237 STREET, BRONX, NY, 10463",7,Exact,Match,40.888382,-73.913994,"660 W 237TH ST, BRONX, NY, 10463",L,NY,36,80295902,030900,10463
8,11X270,X,2,X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO,Secondary School,1,11,11,921 EAST 228TH STREET,NY,10466,Zenobia White,718-696-3840,718-696-3841,"06,07,08,09,10,11,12,SE",BRONX,921 EAST 228TH STREET,3000,BRONX,"-73.85281,40.887867",005,"921 EAST 228TH STREET, BRONX, NY, 10466",8,Exact,Match,40.887867,-73.85281,"921 E 228TH ST, BRONX, NY, 10466",L,NY,36,80297630,040400,10466
9,11X513,X,2,X513,NEW WORLD HIGH SCHOOL,High school,1,11,11,921 EAST 228TH STREET,NY,10466,FAUSTO SALAZAR,718-696-3800,718-696-3801,"09,10,11,12",BRONX,921 EAST 228TH STREET,3000,BRONX,"-73.85281,40.887867",005,"921 EAST 228TH STREET, BRONX, NY, 10466",9,Exact,Match,40.887867,-73.85281,"921 E 228TH ST, BRONX, NY, 10466",L,NY,36,80297630,040400,10466
